pts.lon,pts.lat,pts.amenity
-73.9983835,40.7426863,police
-74.0054536,40.7340416,police
-73.9707859,40.7567621,police
-73.963652,40.7669915,police
-73.947296,40.7891947,police
-73.9453969,40.8157476,police
-73.9673623,40.7964007,police
-73.9304218,40.7650812,post_office
-73.9494444,40.7519444,post_office
-73.9411111,40.7502778,post_office
-73.9427778,40.8191667,post_office
-73.9898702,40.7320791,post_office
-73.9688889,40.7586111,post_office
-73.9530556,40.7777778,post_office
-73.9483333,40.8266667,post_office
-73.9436111,40.7947222,post_office
-73.9602778,40.7677778,post_office
-73.9363889,40.815,post_office
-73.98386,40.7393018,post_office
-73.9522222,40.8108333,post_office
-73.9548027,40.8035258,post_office
-73.9747222,40.7852778,post_office
-73.954515,40.7263494,post_office
-73.9904731,40.8140392,post_office
-74.0190287,40.7856566,post_office
-74.0026394,40.793712,post_office
-73.9845187,40.7219266,post_office
-73.9833752,40.7695673,post_office
-73.9674404,40.799589,post_office
-73.9684106,40.7921046,post_office
-74.0044125,40.7418658,post_office
-73.9507099,40.7098243,post_office
-73.9809312,40.7748111,post_office
-73.9649155,40.805005,post_office
-73.9532867,40.8112298,post_office
-73.9500474,40.7239122,post_office
-73.9914996,40.7507414,post_office
-73.9688682,40.7577796,post_office
-73.9512933,40.7816778,post_office
-73.9832612,40.7318146,post_office
-73.967422,40.7503103,post_office
-73.959489,40.774432,post_office
-74.0001705,40.7433056,post_office
-73.980752,40.7560383,post_office
-73.9601173,40.7680983,post_office
-73.95858,40.8089595,post_office
-74.0056962,40.72806,post_office
-74.0056835,40.7074615,post_office
-73.9898612,40.7541404,post_office
-73.9897516,40.7346281,post_office
-74.000695,40.7162135,prison
-73.9281853,40.7152639,fire_station
-73.9490645,40.7185246,fire_station
-73.9611384,40.7131355,fire_station
-73.9561246,40.7297947,fire_station
-73.9333351,40.7363833,fire_station
-73.9399729,40.759812,fire_station
-73.94,40.7597222,fire_station
-73.9333232,40.7363763,fire_station
-73.9333333,40.7555556,fire_station
-73.9909804,40.7379776,fire_station
-73.9788301,40.7417358,fire_station
-73.9928688,40.7153293,fire_station
-73.9709356,40.7568252,fire_station
-73.9903002,40.7531937,fire_station
-73.9925485,40.7269324,fire_station
-73.9825514,40.7218129,fire_station
-73.980377,40.7666858,fire_station
-73.9547144,40.8119041,fire_station
-73.9547196,40.811966,fire_station
-73.9638965,40.7672075,fire_station
-73.9638948,40.7671748,fire_station
-73.996447,40.7566374,fire_station
-73.9364055,40.8033107,fire_station
-73.9364198,40.8033601,fire_station
-73.9473848,40.7988568,fire_station
-73.9472534,40.7988974,fire_station
-73.9425093,40.8132803,fire_station
-73.9841667,40.7744444,fire_station
-73.984162,40.7744871,fire_station
-73.9629251,40.8049498,fire_station
-73.9469401,40.7888848,fire_station
-73.950831,40.8216821,fire_station
-73.9671175,40.7963366,fire_station
-73.9747303,40.7847424,fire_station
-73.9417872,40.8209154,fire_station
-73.9894263,40.7331401,fire_station
-73.98,40.7822222,fire_station
-73.9671418,40.7963453,fire_station
-73.9508367,40.8217018,fire_station
-74.0003791,40.7345081,fire_station
-73.9966242,40.7230491,fire_station
-73.9965353,40.7607893,fire_station
-73.9469444,40.7888611,fire_station
-73.9418149,40.8207944,fire_station
-73.9424969,40.8133439,fire_station
-73.928253,40.7153349,fire_station
-73.9611665,40.7130823,fire_station
-73.9561731,40.7296905,fire_station
-73.9492252,40.7185182,fire_station
-73.996795,40.7412758,fire_station
-74.0061686,40.7153448,fire_station
-73.9910715,40.7485898,fire_station
-73.9883106,40.8214481,fire_station
-73.9836131,40.7165272,fire_station
-73.9511433,40.7306576,fire_station
-73.9571105,40.7098681,post_office
-73.9878308,40.7263986,police
-73.9609919,40.7132083,fire_station
-73.9291495,40.7674254,fire_station
-73.9834883,40.7313075,fire_station
-73.9957615,40.7197196,fire_station
-74.0032465,40.7281064,fire_station
-74.0004274,40.7166364,prison
-73.9999413,40.7167628,prison
-74.0066879,40.7194446,fire_station
-74.0037762,40.7204704,post_office
-73.9863721,40.7564347,police
-73.9957908,40.7520781,post_office
-73.9914973,40.7479699,police
-73.9831124,40.7367496,police
-73.9862312,40.7638839,post_office
-73.9408432,40.8007339,police
-73.9740444,40.748542,fire_station
-73.9867164,40.7606221,fire_station
-73.9819573,40.7549085,fire_station
-73.9368942,40.8033639,post_office
-73.9525124,40.8086197,police
-73.9566104,40.8145106,police
-74.0102482,40.7122324,post_office
-74.0125142,40.7098374,fire_station
-74.0054547,40.7098575,fire_station
-74.0017582,40.713217,prison
-74.0012696,40.7125606,police
-73.9516634,40.7448724,fire_station
-73.9547971,40.7430914,police
-73.9484378,40.7454246,post_office
-73.9260396,40.8001044,police
-74.012029,40.7407126,fire_station
-73.9341373,40.7427819,prison
-74.0192413,40.7853316,post_office
-73.9929578,40.8038486,police
-73.9834647,40.7664708,company
-73.9835382,40.7681049,company
-73.9826753,40.7673137,company
-73.9911856,40.7412598,company
-73.9738357,40.7588928,company
-73.9728126,40.7578779,company
-74.0103625,40.7087251,company
-73.9629651,40.7945115,accountant
-73.9922549,40.7485331,lawyer
-73.9716323,40.7875909,ngo
-73.9755542,40.7822171,estate_agent
-73.939402,40.748338,company
-73.9858179,40.7535612,yes
-73.9959106,40.7635205,company
-73.9769715,40.7566666,psychiatrist
-73.997503,40.7244012,company
-73.9932889,40.7440812,yes
-74.0055209,40.726194,company
-73.984989,40.7447614,company
-73.9905341,40.7370624,company
-73.9848909,40.7284751,lawyer
-73.9877715,40.7446507,company
-74.0023777,40.7279065,notary
-73.9886638,40.7275685,company
-73.981445,40.7525424,lawyer
-73.9943292,40.7258749,company
-74.0115846,40.7059776,company
-73.9768961,40.756669,physician
-73.9606961,40.7763877,physician
-73.9931178,40.7531169,accountant
-73.9903727,40.7442104,company
-73.9485829,40.7706922,company
-73.9734902,40.752392,company
-73.9854328,40.7441451,coworking
-73.9685532,40.7509158,government
-73.9655949,40.7691228,government
-73.9624218,40.7715139,company
-74.0097342,40.7068622,company
-73.9879052,40.7144781,company
-73.984055,40.7467075,company
-73.9810226,40.7507389,lawyer
-74.0108841,40.7074069,lawyer
-74.0069715,40.7087066,company
-73.977408,40.761316,architect
-73.9971334,40.7218498,company
-74.0057796,40.7273176,company
-74.0149012,40.7135788,company
-73.9637927,40.7766066,educational_institution
-73.9496569,40.7242493,employment_agency
-73.9505387,40.7231011,newspaper
-73.9877345,40.7518998,company
-73.9464788,40.8169193,financial
-73.9434788,40.8161957,estate_agent
-73.9803474,40.7516877,company
-73.9409175,40.8056675,accountant
-73.9596013,40.7108051,association
-73.9827191,40.7682785,company
-73.9730315,40.7516441,government
-74.0058973,40.7395679,coworking
-73.9706708,40.7622952,ngo
